"idDocLigneAchat","idDocument","idJeuComplet","idCatalogue","detailsComplet","qte","prix"
"1","1082","70","803","État de la boite: BON ÉTAT<br/>État du matériel: COMME NEUF<br/>Règle du jeu: ORIGINALE","1","700"
"2","1118","67","81","État de la boite: ÉTAT MOYEN<br/>État du matériel: BON ÉTAT<br/>Règle du jeu: SUR LA BOITE","1","1900"
"3","1118","35","50","État de la boite: ÉTAT MOYEN<br/>État du matériel: ÉTAT MOYEN<br/>Règle du jeu: ORIGINALE","1","800"
"4","1118","2","426","État de la boite: ÉTAT MOYEN<br/>État du matériel: BON ÉTAT<br/>Règle du jeu: ORIGINALE","1","900"
"5","1120","56","331","État de la boite: ÉTAT MOYEN<br/>État du matériel: BON ÉTAT<br/>Règle du jeu: ORIGINALE","1","1400"
"6","1157","95","950","COMME NEUF","1","1700"
"7","1185","97","951","COMME NEUF","1","2200"
"8","1187","47","26","État de la boite: BON ÉTAT<br/>État du matériel: BON ÉTAT<br/>Règle du jeu: ORIGINALE","1","800"
"9","1187","14","447","État de la boite: BON ÉTAT<br/>État du matériel: BON ÉTAT<br/>Règle du jeu: ORIGINALE","1","700"
"10","1187","39","309","État de la boite: BON ÉTAT<br/>État du matériel: BON ÉTAT<br/>Règle du jeu: ORIGINALE","1","800"
"11","1363","96","652","État de la boite: BON ÉTAT<br/>État du matériel: BON ÉTAT<br/>Règle du jeu: ORIGINALE","1","800"
"12","1363","42","307","État de la boite: BON ÉTAT<br/>État du matériel: BON ÉTAT<br/>Règle du jeu: ORIGINALE","1","800"
"13","1421","130","234","État de la boite: BON ÉTAT<br/>État du matériel: BON ÉTAT<br/>Règle du jeu: SANS","1","800"
"14","1422","133","52","État de la boite: BON ÉTAT<br/>État du matériel: BON ÉTAT<br/>Règle du jeu: ORIGINALE","1","1200"
"15","1422","109","315","État de la boite: BON ÉTAT<br/>État du matériel: BON ÉTAT<br/>Règle du jeu: ORIGINALE","1","400"
"16","1422","122","27","État de la boite: BON ÉTAT<br/>État du matériel: BON ÉTAT<br/>Règle du jeu: ORIGINALE","1","300"
"17","1422","140","1094","État de la boite: ÉTAT MOYEN<br/>État du matériel: BON ÉTAT<br/>Règle du jeu: SUR LA BOITE","1","700"
"18","1423","53","275","État de la boite: ÉTAT MOYEN<br/>État du matériel: BON ÉTAT<br/>Règle du jeu: ORIGINALE","1","600"
